"codigo_producto","caja_grosor_mm","caja_exterior_largo","caja_exterior_ancho","caja_exterior_alto","caja_interior_largo","caja_interior_ancho","caja_interior_alto","perimetro_caja_m","cantidad_cajas_alto","cantidad_cajas_largo","cantidad_cajas_ancho","cantidad_cajas_total","utilizacion","caja_tipo_id","volumen_producto_canal_servicios_comida","volumen_producto_canal_minorista","volumen_producto_canal_cadenas_corporativas","volumen_producto_canal_otros","volumen_producto_total","volumen_producto_planta_buenos_aires","volumen_producto_planta_curitiba","volumen_producto_planta_santiago","volumen_producto_planta_bakersfield","volumen_producto_planta_monterrey","cantidad_pallets_planta_buenos_aires","cantidad_pallets_planta_curitiba","cantidad_pallets_planta_santiago","cantidad_pallets_planta_monterrey","cantidad_pallets_planta_bakersfield","cantidad_pallets_total","cantidad_productos","volumen_tipo_planta_buenos_aires","volumen_tipo_planta_curitiba","volumen_tipo_planta_santiago","volumen_tipo_planta_monterrey","volumen_tipo_planta_bakersfield","costo_unitario_base","costo_total_base","descuento_planta_buenos_aires","descuento_planta_curitiba","descuento_planta_santiago","descuento_planta_monterrey","descuento_planta_bakersfield","costo_unitario_planta_buenos_aires","costo_unitario_planta_curitiba","costo_unitario_planta_santiago","costo_unitario_planta_monterrey","costo_unitario_planta_bakersfield","costo_por_pallet","costo_total_planta_buenos_aires","costo_total_planta_curitiba","costo_total_planta_santiago","costo_total_planta_monterrey","costo_total_planta_bakersfield","costo_total","costo_pallet_planta_buenos_aires","costo_pallet_planta_curitiba","costo_pallet_planta_santiago","costo_pallet_planta_monterrey","costo_pallet_planta_bakersfield","costo_pallets_total"
"BR0011",3,399.403325358649,299.531366951489,290.889912118574,393.403325358649,293.531366951489,284.889912118574,1.39786938462028,6,2,4,48,0.966674237571528,30,13433,0,0,0,13433,0,0,13433,0,0,0,0,280,0,0,280,14,15200626,9823324,16858856,0,0,0.6,1794977.4,-30,-30,-30,10,10,0.42,0.42,0.42,0.66,0.66,150,0,0,5641.86,0,0,5641.86,0,0,42000,0,0,42000
"BR0012",3,399.84631838546,299.882265270826,212.352365791362,393.84631838546,293.882265270826,206.352365791362,1.39945716731257,8,2,4,64,0.9430554385762,49,1,281874,0,0,281875,0,0,0,281875,0,0,0,0,0,4405,4405,8,0,6271120,0,0,2359384,0.6,647287.8,10,-30,10,10,-20,0.66,0.42,0.66,0.66,0.48,150,0,0,0,0,135300,135300,0,0,0,0,660750,660750
"BR0013",3,399.709108395608,299.774039414591,238.891854981838,393.709108395608,293.774039414591,232.891854981838,1.3989662956204,7,2,4,56,0.927649033640618,41,1,153251,0,0,153252,0,153252,0,0,0,0,2737,0,0,0,2737,9,0,6935679,0,879984,8400276,0.6,1081062.6,10,-30,10,-10,-30,0.66,0.42,0.66,0.54,0.42,150,0,64365.84,0,0,0,64365.84,0,410550,0,0,0,410550
"BR0014",3,399.288142989791,299.489681815439,249.106387964785,393.288142989791,293.489681815439,243.106387964785,1.39755564961046,7,2,4,56,0.965378076026621,27,1,56318,0,0,56319,0,0,0,56319,0,0,0,0,0,1006,1006,8,0,0,4619800,0,4011408,0.6,647340.6,10,10,-30,10,-30,0.66,0.66,0.42,0.66,0.42,150,0,0,0,0,23653.98,23653.98,0,0,0,0,150900,150900
"BR0015",3,399.288142989791,299.489681815439,249.106387964785,393.288142989791,293.489681815439,243.106387964785,1.39755564961046,7,2,4,56,0.965378076026621,27,0,30861,0,50,30911,0,0,0,30911,0,0,0,0,0,552,552,8,0,0,4619800,0,4011408,0.6,647340.6,10,10,-30,10,-30,0.66,0.66,0.42,0.66,0.42,150,0,0,0,0,12982.62,12982.62,0,0,0,0,82800,82800
"BR0016",3,399.288142989791,299.489681815439,249.106387964785,393.288142989791,293.489681815439,243.106387964785,1.39755564961046,7,2,4,56,0.965378076026621,27,0,30466,0,0,30466,0,0,0,30466,0,0,0,0,0,545,545,8,0,0,4619800,0,4011408,0.6,647340.6,10,10,-30,10,-30,0.66,0.66,0.42,0.66,0.42,150,0,0,0,0,12795.72,12795.72,0,0,0,0,81750,81750
"BR0017",3,399.709108395608,299.774039414591,238.891854981838,393.709108395608,293.774039414591,232.891854981838,1.3989662956204,7,2,4,56,0.927649033640618,41,1,131798,0,0,131799,0,131799,0,0,0,0,2354,0,0,0,2354,9,0,6935679,0,879984,8400276,0.6,1081062.6,10,-30,10,-10,-30,0.66,0.42,0.66,0.54,0.42,150,0,55355.58,0,0,0,55355.58,0,353100,0,0,0,353100
"BR0018",3,399.879450675377,299.913580311683,299.899489682015,393.879450675377,293.913580311683,293.899489682015,1.39958606197412,6,2,4,48,0.999075810935959,51,1,181570,0,0,181571,0,0,0,181571,0,0,0,0,0,3783,3783,18,136782,31428684,9133218,1691766,9687888,0.6,1735944.6,10,-30,-30,-10,-30,0.66,0.42,0.42,0.54,0.42,150,0,0,0,0,76259.82,76259.82,0,0,0,0,567450,567450
"BR0019",3,399.926643810439,277.254614848935,255.936472350173,393.926643810439,271.254614848935,249.936472350173,1.35436251731875,7,2,4,56,0.919677561683307,56,0,1447,0,0,1447,0,1447,0,0,0,0,26,0,0,0,26,20,3032900,39372600,14009120,29426500,20363600,0.6,3186141.6,-20,-30,-30,-30,-30,0.48,0.42,0.42,0.42,0.42,150,0,607.74,0,0,0,607.74,0,3900,0,0,0,3900
"BR0020",3,398.579922309114,276.660762454932,199.633529189483,392.579922309114,270.660762454932,193.633529189483,1.35048136952809,9,2,4,72,0.917244740936732,11,91699,0,0,0,91699,70380,0,0,0,21319,978,0,0,297,0,1275,14,1653176,23126782,5354454,10334100,0,0.6,1734364.8,-20,-30,-20,-30,10,0.48,0.42,0.48,0.42,0.66,150,33782.4,0,0,8953.98,0,42736.38,146700,0,0,44550,0,191250
"BR0021",3,399.79411415875,239.950962354025,215.483884683226,393.79411415875,233.950962354025,209.483884683226,1.27949015302555,8,2,5,80,0.957017627627729,45,40184,0,0,0,40184,40184,0,0,0,0,503,0,0,0,0,503,5,3997110,514185,0,1234415,0,0.6,689485.2,-30,-20,10,-20,10,0.42,0.48,0.66,0.48,0.66,150,16877.28,0,0,0,0,16877.28,75450,0,0,0,0,75450
"BR0022",3,399.379355375369,273.94279801479,224.900112316767,393.379355375369,267.94279801479,218.900112316767,1.34664430678032,8,2,4,64,0.911321060986652,28,14747,0,0,0,14747,14747,0,0,0,0,231,0,0,0,0,231,21,3772230,41724522,10938375,41193306,20265210,0.6,3368389.8,-20,-30,-30,-30,-30,0.48,0.42,0.42,0.42,0.42,150,7078.56,0,0,0,0,7078.56,34650,0,0,0,0,34650
"BR0023",3,398.816671857971,269.672587953179,179.323471288646,392.816671857971,263.672587953179,173.323471288646,1.3369785196223,10,2,4,80,0.892880819994613,17,13807,0,0,0,13807,0,13807,0,0,0,0,173,0,0,0,173,7,37891,3532942,1166893,28441,447874,0.6,446917.8,10,-30,-20,10,-10,0.66,0.42,0.48,0.66,0.54,150,0,5798.94,0,0,0,5798.94,0,25950,0,0,0,25950
"BR0024",3,399.707692424025,269.789457249705,252.609612684429,393.707692424025,263.789457249705,246.609612684429,1.33899429934746,7,2,4,56,0.882798614033888,40,3004,0,0,0,3004,0,0,3004,0,0,0,0,54,0,0,54,10,680,5815640,5053100,510,610,0.6,652232.4,10,-30,-30,10,10,0.66,0.42,0.42,0.66,0.66,150,0,0,1261.68,0,0,1261.68,0,0,8100,0,0,8100
"BR0025",3,399.555692758424,299.7087205161,179.217411522359,393.555692758424,293.7087205161,173.217411522359,1.39852882654905,10,2,4,80,0.993580710943846,34,59324,78002,1926,639,139891,44072,0,0,0,95819,551,0,0,1198,0,1749,31,29736998,33095755,3208686,10585229,15891313,0.6,1790670.6,-30,-30,-20,-20,-30,0.42,0.42,0.48,0.48,0.42,150,18510.24,0,0,45993.12,0,64503.36,82650,0,0,179700,0,262350
"BR0026",3,399.464172072871,299.587905218947,219.748735251768,393.464172072871,293.587905218947,213.748735251768,1.39810415458364,8,2,4,64,0.974012947325199,32,109226,0,0,0,109226,68302,0,0,0,40924,1068,0,0,640,0,1708,25,13163925,24203000,19799650,1645275,2645925,0.6,1474986.6,-30,-30,-30,-10,-20,0.42,0.42,0.42,0.54,0.48,150,28686.84,0,0,22098.96,0,50785.8,160200,0,0,96000,0,256200
"BR0027",3,399.555692758424,299.7087205161,179.217411522359,393.555692758424,293.7087205161,173.217411522359,1.39852882654905,10,2,4,80,0.993580710943846,34,82289,0,0,0,82289,82289,0,0,0,0,1029,0,0,0,0,1029,31,29736998,33095755,3208686,10585229,15891313,0.6,1790670.6,-30,-30,-20,-20,-30,0.42,0.42,0.48,0.48,0.42,150,34561.38,0,0,0,0,34561.38,154350,0,0,0,0,154350
"BR0028",3,399.464172072871,299.587905218947,219.748735251768,393.464172072871,293.587905218947,213.748735251768,1.39810415458364,8,2,4,64,0.974012947325199,32,3136,0,0,0,3136,3136,0,0,0,0,49,0,0,0,0,49,25,13163925,24203000,19799650,1645275,2645925,0.6,1474986.6,-30,-30,-30,-10,-20,0.42,0.42,0.42,0.54,0.48,150,1317.12,0,0,0,0,1317.12,7350,0,0,0,0,7350
"BR0029",3,399.555692758424,299.7087205161,179.217411522359,393.555692758424,293.7087205161,173.217411522359,1.39852882654905,10,2,4,80,0.993580710943846,34,86631,0,0,0,86631,86631,0,0,0,0,1083,0,0,0,0,1083,31,29736998,33095755,3208686,10585229,15891313,0.6,1790670.6,-30,-30,-20,-20,-30,0.42,0.42,0.48,0.48,0.42,150,36385.02,0,0,0,0,36385.02,162450,0,0,0,0,162450
"BR0030",3,399.555692758424,299.7087205161,179.217411522359,393.555692758424,293.7087205161,173.217411522359,1.39852882654905,10,2,4,80,0.993580710943846,34,0,22233,0,6900,29133,0,29133,0,0,0,0,365,0,0,0,365,31,29736998,33095755,3208686,10585229,15891313,0.6,1790670.6,-30,-30,-20,-20,-30,0.42,0.42,0.48,0.48,0.42,150,0,12235.86,0,0,0,12235.86,0,54750,0,0,0,54750
"BR0031",3,399.555692758424,299.7087205161,179.217411522359,393.555692758424,293.7087205161,173.217411522359,1.39852882654905,10,2,4,80,0.993580710943846,34,13965,0,0,0,13965,13965,0,0,0,0,175,0,0,0,0,175,31,29736998,33095755,3208686,10585229,15891313,0.6,1790670.6,-30,-30,-20,-20,-30,0.42,0.42,0.48,0.48,0.42,150,5865.3,0,0,0,0,5865.3,26250,0,0,0,0,26250
"BR0032",3,398.705408975371,298.983218032755,163.357544839731,392.705408975371,292.983218032755,157.357544839731,1.39537725401625,11,2,4,88,0.991692596752447,13,14194,0,0,0,14194,14194,0,0,0,0,162,0,0,0,0,162,15,2084415,11326320,83385,496680,1066470,0.6,602290.8,-20,-30,10,0,-10,0.48,0.42,0.66,0.6,0.54,150,6813.12,0,0,0,0,6813.12,24300,0,0,0,0,24300
"BR0033",3,399.4566572862,299.559680438227,199.726211629175,393.4566572862,293.559680438227,193.726211629175,1.39803267544885,9,2,4,72,0.995810829214127,31,41585,23378,0,0,64963,64963,0,0,0,0,903,0,0,0,0,903,26,14612468,14809158,44233852,878410,3754218,0.6,1806648.6,-30,-30,-30,0,-20,0.42,0.42,0.42,0.6,0.48,150,27284.46,0,0,0,0,27284.46,135450,0,0,0,0,135450
"BR0034",3,399.259674904599,239.837820648833,196.052733420557,393.259674904599,233.837820648833,190.052733420557,1.27819499110686,9,2,5,90,0.977788198095524,26,0,730326,0,0,730326,0,617364,112962,0,0,0,6860,1256,0,0,8116,3,0,2047293,544641,0,0,0.6,518386.8,10,-30,-20,10,10,0.66,0.42,0.48,0.66,0.66,150,0,259292.88,54221.76,0,0,313514.64,0,1029000,188400,0,0,1217400
"BR0035",3,399.987041795387,299.989934108923,224.995748919131,393.987041795387,293.989934108923,218.995748919131,1.39995395180862,8,2,4,64,0.999915160158415,57,15862,0,0,0,15862,15862,0,0,0,0,248,0,0,0,0,248,11,387563,6356361,9581121,3509,3564,0.6,890842.8,0,-30,-30,10,10,0.6,0.42,0.42,0.66,0.66,150,9517.2,0,0,0,0,9517.2,37200,0,0,0,0,37200
"BR0036",3,398.705408975371,298.983218032755,163.357544839731,392.705408975371,292.983218032755,157.357544839731,1.39537725401625,11,2,4,88,0.991692596752447,13,27685,0,0,0,27685,11088,0,0,0,16597,126,0,0,189,0,315,15,2084415,11326320,83385,496680,1066470,0.6,602290.8,-20,-30,10,0,-10,0.48,0.42,0.66,0.6,0.54,150,5322.24,0,0,9958.2,0,15280.44,18900,0,0,28350,0,47250
"BR0037",3,399.926643810439,277.254614848935,255.936472350173,393.926643810439,271.254614848935,249.936472350173,1.35436251731875,7,2,4,56,0.919677561683307,56,3201,0,62939,0,66140,0,0,66140,0,0,0,0,1182,0,0,1182,20,3032900,39372600,14009120,29426500,20363600,0.6,3186141.6,-20,-30,-30,-30,-30,0.48,0.42,0.42,0.42,0.42,150,0,0,27778.8,0,0,27778.8,0,0,177300,0,0,177300
"BR0038",3,398.892297950046,276.87044157952,246.125229701704,392.892297950046,270.87044157952,240.125229701704,1.35152547905913,7,2,4,56,0.880912286746608,19,31584,0,0,0,31584,0,31584,0,0,0,0,564,0,0,0,564,4,0,2705300,0,0,0,0.6,405795,10,-30,10,10,10,0.66,0.42,0.66,0.66,0.66,150,0,13265.28,0,0,0,13265.28,0,84600,0,0,0,84600
"BR0039",3,399.926643810439,277.254614848935,255.936472350173,393.926643810439,271.254614848935,249.936472350173,1.35436251731875,7,2,4,56,0.919677561683307,56,23517,0,6,0,23523,0,23523,0,0,0,0,421,0,0,0,421,20,3032900,39372600,14009120,29426500,20363600,0.6,3186141.6,-20,-30,-30,-30,-30,0.48,0.42,0.42,0.42,0.42,150,0,9879.66,0,0,0,9879.66,0,63150,0,0,0,63150
"BR0040",3,399.926643810439,277.254614848935,255.936472350173,393.926643810439,271.254614848935,249.936472350173,1.35436251731875,7,2,4,56,0.919677561683307,56,0,0,12725,0,12725,0,12725,0,0,0,0,228,0,0,0,228,20,3032900,39372600,14009120,29426500,20363600,0.6,3186141.6,-20,-30,-30,-30,-30,0.48,0.42,0.42,0.42,0.42,150,0,5344.5,0,0,0,5344.5,0,34200,0,0,0,34200
"BR0041",3,398.892297950046,276.87044157952,246.125229701704,392.892297950046,270.87044157952,240.125229701704,1.35152547905913,7,2,4,56,0.880912286746608,19,0,0,43428,0,43428,0,43428,0,0,0,0,776,0,0,0,776,4,0,2705300,0,0,0,0.6,405795,10,-30,10,10,10,0.66,0.42,0.66,0.66,0.66,150,0,18239.76,0,0,0,18239.76,0,116400,0,0,0,116400
"BR0042",3,398.579922309114,276.660762454932,199.633529189483,392.579922309114,270.660762454932,193.633529189483,1.35048136952809,9,2,4,72,0.917244740936732,11,31809,0,0,0,31809,0,31809,0,0,0,0,442,0,0,0,442,14,1653176,23126782,5354454,10334100,0,0.6,1734364.8,-20,-30,-20,-30,10,0.48,0.42,0.48,0.42,0.66,150,0,13359.78,0,0,0,13359.78,0,66300,0,0,0,66300
"BR0043",3,396.08834787281,239.458388343332,157.416841079885,390.08834787281,233.458388343332,151.416841079885,1.27109347243228,11,2,5,110,0.950434651711263,4,11771,0,0,0,11771,11771,0,0,0,0,108,0,0,0,0,108,6,217344,0,0,0,0,0.6,21734.4,0,10,10,10,10,0.6,0.66,0.66,0.66,0.66,150,7062.6,0,0,0,0,7062.6,16200,0,0,0,0,16200
"BR0044",3,396.08834787281,239.458388343332,157.416841079885,390.08834787281,233.458388343332,151.416841079885,1.27109347243228,11,2,5,110,0.950434651711263,4,2256,0,0,0,2256,2256,0,0,0,0,21,0,0,0,0,21,6,217344,0,0,0,0,0.6,21734.4,0,10,10,10,10,0.6,0.66,0.66,0.66,0.66,150,1353.6,0,0,0,0,1353.6,3150,0,0,0,0,3150
"BR0045",3,393.138873425588,193.891399902552,148.617418992871,387.138873425588,187.891399902552,142.617418992871,1.17406054665628,12,2,6,144,0.944045668166689,1,13225,0,0,0,13225,13225,0,0,0,0,92,0,0,0,0,92,2,41870,0,0,0,0,0.6,12561,0,10,10,10,10,0.6,0.66,0.66,0.66,0.66,150,7935,0,0,0,0,7935,13800,0,0,0,0,13800
"BR0046",3,396.08834787281,239.458388343332,157.416841079885,390.08834787281,233.458388343332,151.416841079885,1.27109347243228,11,2,5,110,0.950434651711263,4,8665,0,0,0,8665,8665,0,0,0,0,79,0,0,0,0,79,6,217344,0,0,0,0,0.6,21734.4,0,10,10,10,10,0.6,0.66,0.66,0.66,0.66,150,5199,0,0,0,0,5199,11850,0,0,0,0,11850
"BR0047",3,396.08834787281,239.458388343332,157.416841079885,390.08834787281,233.458388343332,151.416841079885,1.27109347243228,11,2,5,110,0.950434651711263,4,2166,0,0,0,2166,2166,0,0,0,0,20,0,0,0,0,20,6,217344,0,0,0,0,0.6,21734.4,0,10,10,10,10,0.6,0.66,0.66,0.66,0.66,150,1299.6,0,0,0,0,1299.6,3000,0,0,0,0,3000
"BR0048",3,399.379355375369,273.94279801479,224.900112316767,393.379355375369,267.94279801479,218.900112316767,1.34664430678032,8,2,4,64,0.911321060986652,28,133,28,59,2,222,35,79,51,31,26,1,2,1,1,1,6,21,3772230,41724522,10938375,41193306,20265210,0.6,3368389.8,-20,-30,-30,-30,-30,0.48,0.42,0.42,0.42,0.42,150,16.8,33.18,21.42,10.92,13.02,95.34,150,300,150,150,150,900
"BR0049",3,396.736060465176,239.523320860284,264.159669960407,390.736060465176,233.523320860284,258.159669960407,1.27251876265092,6,2,5,60,0.871612613269493,5,4328,0,0,0,4328,4328,0,0,0,0,73,0,0,0,0,73,5,437365,0,0,0,0,0.6,52483.8,-10,10,10,10,10,0.54,0.66,0.66,0.66,0.66,150,2337.12,0,0,0,0,2337.12,10950,0,0,0,0,10950
"BR0050",3,399.091067535497,239.867256980065,233.07956154354,393.091067535497,233.867256980065,227.07956154354,1.27791664903112,7,2,5,70,0.903860631245766,24,9242,0,0,0,9242,9242,0,0,0,0,133,0,0,0,0,133,8,251720,1068736,3557680,544936,997144,0.6,481516.2,0,-20,-20,-10,-20,0.6,0.48,0.48,0.54,0.48,150,5545.2,0,0,0,0,5545.2,19950,0,0,0,0,19950
"BR0051",3,399.379355375369,273.94279801479,224.900112316767,393.379355375369,267.94279801479,218.900112316767,1.34664430678032,8,2,4,64,0.911321060986652,28,135,28,60,2,225,35,80,52,31,27,1,2,1,1,1,6,21,3772230,41724522,10938375,41193306,20265210,0.6,3368389.8,-20,-30,-30,-30,-30,0.48,0.42,0.42,0.42,0.42,150,16.8,33.6,21.84,11.34,13.02,96.6,150,300,150,150,150,900
"BR0052",3,399.644347892194,239.933489959603,250.37433488558,393.644347892194,233.933489959603,244.37433488558,1.27915567570359,7,2,5,70,0.972542651688049,37,68844,0,0,0,68844,68844,0,0,0,0,984,0,0,0,0,984,7,1177134,152922,147007,50407,59535,0.6,136029,-20,0,0,10,10,0.48,0.6,0.6,0.66,0.66,150,33045.12,0,0,0,0,33045.12,147600,0,0,0,0,147600
"BR0053",3,399.091067535497,239.867256980065,233.07956154354,393.091067535497,233.867256980065,227.07956154354,1.27791664903112,7,2,5,70,0.903860631245766,24,2320,0,0,0,2320,2320,0,0,0,0,34,0,0,0,0,34,8,251720,1068736,3557680,544936,997144,0.6,481516.2,0,-20,-20,-10,-20,0.6,0.48,0.48,0.54,0.48,150,1392,0,0,0,0,1392,5100,0,0,0,0,5100
"BR0054",3,396.736060465176,239.523320860284,264.159669960407,390.736060465176,233.523320860284,258.159669960407,1.27251876265092,6,2,5,60,0.871612613269493,5,42687,0,0,0,42687,42687,0,0,0,0,712,0,0,0,0,712,5,437365,0,0,0,0,0.6,52483.8,-10,10,10,10,10,0.54,0.66,0.66,0.66,0.66,150,23050.98,0,0,0,0,23050.98,106800,0,0,0,0,106800
"BR0055",3,399.644347892194,239.933489959603,250.37433488558,393.644347892194,233.933489959603,244.37433488558,1.27915567570359,7,2,5,70,0.972542651688049,37,74368,0,0,0,74368,74368,0,0,0,0,1063,0,0,0,0,1063,7,1177134,152922,147007,50407,59535,0.6,136029,-20,0,0,10,10,0.48,0.6,0.6,0.66,0.66,150,35696.64,0,0,0,0,35696.64,159450,0,0,0,0,159450
"BR0056",3,399.644347892194,239.933489959603,250.37433488558,393.644347892194,233.933489959603,244.37433488558,1.27915567570359,7,2,5,70,0.972542651688049,37,15355,0,0,0,15355,15355,0,0,0,0,220,0,0,0,0,220,7,1177134,152922,147007,50407,59535,0.6,136029,-20,0,0,10,10,0.48,0.6,0.6,0.66,0.66,150,7370.4,0,0,0,0,7370.4,33000,0,0,0,0,33000
"BR0057",3,399.555282378015,238.973500554299,244.125950324208,393.555282378015,232.973500554299,238.125950324208,1.27705756586463,7,2,5,70,0.944267127028848,33,23499,0,0,0,23499,23499,0,0,0,0,336,0,0,0,0,336,12,1379580,1519512,645816,0,0,0.6,177245.4,-20,-20,-10,10,10,0.48,0.48,0.54,0.66,0.66,150,11279.52,0,0,0,0,11279.52,50400,0,0,0,0,50400
"BR0058",3,393.138873425588,193.891399902552,148.617418992871,387.138873425588,187.891399902552,142.617418992871,1.17406054665628,12,2,6,144,0.944045668166689,1,7710,0,0,0,7710,7710,0,0,0,0,54,0,0,0,0,54,2,41870,0,0,0,0,0.6,12561,0,10,10,10,10,0.6,0.66,0.66,0.66,0.66,150,4626,0,0,0,0,4626,8100,0,0,0,0,8100
"BR0059",3,396.736060465176,239.523320860284,264.159669960407,390.736060465176,233.523320860284,258.159669960407,1.27251876265092,6,2,5,60,0.871612613269493,5,4286,0,0,0,4286,4286,0,0,0,0,72,0,0,0,0,72,5,437365,0,0,0,0,0.6,52483.8,-10,10,10,10,10,0.54,0.66,0.66,0.66,0.66,150,2314.44,0,0,0,0,2314.44,10800,0,0,0,0,10800
